Data
21762
21804
21834
21893
21994
22133
22161
22305
22305
22314
22314
22314
22314
22314
22314
22314
22288.34464
22240.64319
22191.71203
22146.28395
22129.04528
22080.56256
22041.65962
22026.64497
22013.86967
21973.41026
21941.95485
21940.38863
21932.06954
21882.4495
21869.50746
21835.6693
21789.57327
21974
22281
22277.19306
22274.27372
22236.04453
22480
22622.13818
22709.98446
23014.20745
23164.88588
23264.97558
23491.08591
23825
23825
23825
23926
23977
23977
24043
24074
24239
24239
24199
24168.23261
24144.15473
24096.26893
24046.82884
24061
24228
24358
24354.11164
24341.74203
24394
24526
24733
24778
24735.44121
24710.74602
24674.34111
24983
25123.00263
25265.96154
25596.01583
25809.93419
26004.72129
26045.47972
26267.989
26276.28391
26563.84653
26676.30852
26924.82929
27061.99565
27382.40783
27613.9823
27679.05309
27730.54168
27830.02639
27893.99751
28050.70394
28373
28369
28438
28455
28543
28497
28584
28618
28618
28680
28634.13929
28626.4353
28593.02328
28586.04492
28618
28604.8424
28572.39232
28548.59342
28532.7407
28509.34618
28468.21209
28421.93489
28400.92252
28372.49768
28325.33474
28280.16976
28239.29112
28220.82372
28204.18764
28200.95593
28168.13252
28121.81445
28128
28203
28174.35484
28168.57443
28162.8726
28128.01526
28110.63113
28066.88484
28024.28603
27988.28594
27976.84024
27972.02696
27938.6956
27908.42275
27883.09908
27858.7287
27837.49294
27817.85633
27804.15259
27763.98452
27720.85271
27866
27942
27997
28075
28076
28088
28070
28034.99069
28019.63825
28010.74583
28000.11936
27958.08581
27942.46139
27900.79533
27886.27734
27920
27944
28036
28201
28405
28551
28552
28634
28665
28704
28665
28764
28812
28812
28778
28820
28914
28931
28992
28992
29034
29043
29041
29163
29151.72276
29108.54633
29066.67754
29036.87593
29224
29482
29445
29466
29463.83599
29457.25688
29411.61208
29369.93812
29325.43129
29417
29452
29498
29591
29594
29760
30013
29986.41016
29954.42021
29952.12397
29923.96704
29889.0601
29840.4453
29824.25809
29933
30018
30014
29999
30034
30078
30091
30070.85488
30038.30444
30035.10348
29995.20999
29983.1476
30009
30059
30055
30017.51124
30010.37224
29989.22229
29976.59512
29934.59449
29921.75418
29890.77765
29884.0346
29865.83928
29851.53164
29815.9668
29776.88094
29758.04966
29725.4362
29715.81082
29690.02796
29677.44359
29714
29953
30103
30216
30448
30399
30399
30581
30729
30912
30936
30927.94751
31007
31253
31400.52896
31569.32349
31672.55563
31840.72153
32153
32153
32140.37994
32358
32482
32491
32590
32678
32644
32644
32771
32808.05656
32895.00688
33158.1599
33475.39301
33521.38643
33731.42373
33885
33971.57084
34026.39847
34290.25733
34424.67839
34627.19944
34715.02319
35003.3191
35296.12435
35638.6558
35626.093
35589.90435
35568.08383
35540.16088
35498.67968
35819
35879
35849
35842.30739
35818
35848
35986
36256
36233.6493
36229.84122
36192.66438
36159.1304
36155.01197
36133.68608
36106.12049
36058.50208
36045.84736
36018.26982
36008.23169
35977.56766
35964.18888
35959.57327
35911.7589
35903.62333
35887.07546
35855.2201
35808.8668
35795.50187
35755.104
35708.08033
35685.57247
35659.28554
35641.47708
35607.7331
35587.8415
35579.37114
35557.14673
35537.19194
35489.78177
